event_id,symbol,entry_day,exit_day,holding_days,entry_date,exit_date,ex_date,entry_price,exit_price,raw_return,net_return,daily_net_return,entry_premium,exit_premium,premium_change_entry_to_exit,entry_volume_ratio,dividend,dividend_yield_on_entry,etf_name,entry_year,strategy_entry_day,strategy_exit_day,strategy_holding_days,exit_year,category
00878_20230517,00878,-10,-1,9,2023-05-03,2023-05-16,2023-05-17,13.62104606628418,13.836642265319824,0.01582816752740479,0.01422816752740479,0.0015809075030449767,0.0017,0.0006,-0.0010999999999999998,1.6478533030903055,0.27,0.015262859912309407,國泰永續高股息,2023,-10,-1,9,2023,high_dividend
00713_20230616,00713,-10,-1,9,2023-06-02,2023-06-15,2023-06-16,35.34614562988281,37.02251434326172,0.047427199868764314,0.045827199868764316,0.005091911096529369,-0.0013,-0.0002,0.0010999999999999998,2.1605130690235885,0.68,0.015212527704558445,元大台灣高息低波,2023,-10,-1,9,2023,high_dividend
00919_20230616,00919,-10,-1,9,2023-06-02,2023-06-15,2023-06-16,13.814146041870115,14.529166221618652,0.05175999859718727,0.050159998597187276,0.005573333177465253,0.001,0.0025,0.0015,15.186169667273916,0.54,0.027950311000505074,群益台灣精選高息,2023,-10,-1,9,2023,high_dividend
0056_20230718,0056,-10,-1,9,2023-07-04,2023-07-17,2023-07-18,24.749509811401367,26.23112297058105,0.0598643435958941,0.0582643435958941,0.006473815955099344,0.0018,-0.0011,-0.0029,2.7892760397984735,1.0,0.029489826142724575,元大高股息,2023,-10,-1,9,2023,high_dividend
00878_20230816,00878,-10,-1,9,2023-08-01,2023-08-15,2023-08-16,17.096460342407227,16.752498626708984,-0.020118884775526036,-0.021718884775526037,-0.002413209419502893,-0.005,0.0060999999999999,0.0110999999999999,2.266276357317813,0.35,0.01600365736484665,國泰永續高股息,2023,-10,-1,9,2023,high_dividend
00713_20230918,00713,-10,-1,9,2023-09-04,2023-09-15,2023-09-18,38.35449981689453,39.14083862304688,0.02050186574994739,0.01890186574994739,0.00210020730554971,0.001,-0.0004,-0.0014,1.5465119033641772,0.84,0.017573222037809717,元大台灣高息低波,2023,-10,-1,9,2023,high_dividend
00919_20230918,00919,-10,-1,9,2023-09-04,2023-09-15,2023-09-18,15.278393745422363,16.07904052734375,0.05240385836772088,0.05080385836772088,0.005644873151968987,0.001,0.0009,-0.00010000000000000005,3.6045527319977673,0.54,0.025961539413802054,群益台灣精選高息,2023,-10,-1,9,2023,high_dividend
0056_20231019,0056,-10,-1,9,2023-10-03,2023-10-18,2023-10-19,26.726619720458984,26.20109367370605,-0.019663019575597462,-0.021263019575597463,-0.0023625577306219405,0.0023,0.004,0.0017000000000000001,2.5788034462913276,1.2,0.03370786661331805,元大高股息,2023,-10,-1,9,2023,high_dividend
00878_20231116,00878,-10,-1,9,2023-11-02,2023-11-15,2023-11-16,15.862422943115234,16.442562103271484,0.03657317436539853,0.034973174365398534,0.0038859082628220592,0.0015,0.0039,0.0024,0.9552302803706452,0.35,0.017535070944581007,國泰永續高股息,2023,-10,-1,9,2023,high_dividend
00713_20231218,00713,-10,-1,9,2023-12-04,2023-12-15,2023-12-18,40.79824447631836,41.76166534423828,0.023614272630753774,0.022014272630753774,0.0024460302923059746,0.0028,0.0034999999999999,0.0006999999999998999,1.6011218716066868,0.84,0.016810085640982107,元大台灣高息低波,2023,-10,-1,9,2023,high_dividend
