event_id,symbol,etf_name,ex_date,dividend,entry_day,exit_day,holding_days,entry_date,exit_date,entry_price,exit_price,raw_return,net_return,entry_premium,exit_premium,premium_change_entry_to_exit,entry_volume_ratio,dividend_yield_on_entry,entry_year
00929_20240319,00929,復華台灣科技優息,2024-03-19,0.13,-10,-1,9,2024-03-05,2024-03-18,17.125415802001953,18.07062149047852,0.055193152645442556,0.05359315264544256,-0.0069999999999999,-0.0076,-0.0006000000000000996,1.1969083585339284,0.006522829804786268,2024
00929_20240423,00929,復華台灣科技優息,2024-04-23,0.2,-10,-1,9,2024-04-09,2024-04-22,18.105207443237305,16.903385162353516,-0.06637992327078779,-0.06797992327078779,0.0005,0.0026,0.0021,1.0859173457464653,0.00955109813272031,2024
00929_20240521,00929,復華台灣科技優息,2024-05-21,0.2,-10,-1,9,2024-05-07,2024-05-20,17.672115325927734,17.83808708190918,0.009391731149351434,0.0077917311493514345,,,,0.8256390507203533,0.00988630768786913,2024
00929_20240620,00929,復華台灣科技優息,2024-06-20,0.2,-10,-1,9,2024-06-05,2024-06-19,18.12039566040039,18.98495101928711,0.047711726338077964,0.04611172633807797,0.0044,0.0037,-0.0007000000000000001,1.4995468727383157,0.0097370979106826,2024
00929_20240717,00929,復華台灣科技優息,2024-07-17,0.18,-10,-1,9,2024-07-03,2024-07-16,18.4328556060791,18.521902084350582,0.004830856388964078,0.003230856388964078,0.001,0.0043,0.0033,0.7763234655698125,0.00869565185341759,2024
00929_20240820,00929,復華台灣科技優息,2024-08-20,0.18,-10,-1,9,2024-08-06,2024-08-19,16.491859436035156,17.803300857543945,0.07952053111993274,0.07792053111993273,0.0055,0.0,-0.0055,2.564499147610931,0.009803921242710316,2024
00929_20240919,00929,復華台灣科技優息,2024-09-19,0.16,-10,-1,9,2024-09-04,2024-09-18,17.277538299560547,17.17783546447754,-0.005770662078957378,-0.007370662078957378,0.0074,0.0101,0.0026999999999999993,2.396585248888062,0.008394543781908187,2024
00929_20241119,00929,復華台灣科技優息,2024-11-19,0.11,-10,-1,9,2024-11-05,2024-11-18,16.788482666015625,16.558250427246094,-0.013713701431492864,-0.015313701431492865,-0.0049,,,0.9003068523917264,0.006034010025351102,2024
00929_20241218,00929,復華台灣科技優息,2024-12-18,0.05,-10,-1,9,2024-12-04,2024-12-17,16.58605194091797,16.576786041259766,-0.0005586561341547336,-0.0021586561341547334,,,,5.540580668784028,0.0027932961489138502,2024
00929_20250116,00929,復華台灣科技優息,2025-01-16,0.05,-10,-1,9,2025-01-02,2025-01-15,16.73474884033203,16.651119232177734,-0.004997362610709932,-0.006597362610709932,,,,0.6733624921436004,0.002776235389481963,2025
