event_id,symbol,entry_date,exit_date,ex_date,entry_year,entry_day,exit_day,holding_days,buffer_days_used,actual_net_return,actual_daily_return,matched_placebo_mean_daily_return,matched_placebo_median_daily_return,event_excess_daily_return,event_excess_daily_return_vs_median,random_sample_count,entry_premium,exit_premium,entry_volume_ratio,dividend_yield_on_entry,etf_name,category
00713_20201120,00713,2020-11-06,2020-11-19,2020-11-20,2020,-10,-1,9,30,0.018290415503941216,0.002032268389326802,0.0002530231625528248,0.001100179759584188,0.0017792452267739772,0.0009320886297426139,786,-0.008,0.0031,1.504863472694539,0.04900547902273808,元大台灣高息低波,high_dividend
00713_20211119,00713,2021-11-05,2021-11-18,2021-11-19,2021,-10,-1,9,30,0.031688396490334995,0.003520932943370555,0.0010120694939824142,0.000832898137100196,0.0025088634493881405,0.002688034806270359,774,0.0029,0.0019,87.59983739129173,0.0703753377596664,元大台灣高息低波,high_dividend
00713_20220919,00713,2022-09-02,2022-09-16,2022-09-19,2022,-10,-1,9,30,-0.003347873824169521,-0.00037198598046328014,-0.0002920507123514764,0.00023639441935663873,-7.993526811180375e-05,-0.0006083803998199189,671,0.0023,0.001,6.186743927849006,0.0362047447596012,元大台灣高息低波,high_dividend
00713_20221216,00713,2022-12-02,2022-12-15,2022-12-16,2022,-10,-1,9,30,-0.01048550368855634,-0.001165055965395149,-0.00024377014412208976,0.0002303362463900716,-0.0009212858212730592,-0.0013953922117852205,675,0.001,0.0040999999999999,2.330767595659974,0.03681137401543233,元大台灣高息低波,high_dividend
00713_20230317,00713,2023-03-03,2023-03-16,2023-03-17,2023,-10,-1,9,30,-0.01092694109200083,-0.00121410456577787,0.001361745722976311,0.0010519761152245424,-0.002575850288754181,-0.0022660806810024126,183,0.0015,0.0051,1.995921283395981,0.01714141747887252,元大台灣高息低波,high_dividend
00713_20230616,00713,2023-06-02,2023-06-15,2023-06-16,2023,-10,-1,9,30,0.045827199868764316,0.005091911096529369,0.0016434796061837772,0.001398668855788918,0.0034484314903455915,0.003693242240740451,192,-0.0013,-0.0002,2.1605130690235885,0.015212527704558445,元大台灣高息低波,high_dividend
00713_20230918,00713,2023-09-04,2023-09-15,2023-09-18,2023,-10,-1,9,30,0.01890186574994739,0.00210020730554971,0.0014929145589287294,0.0012238289679549258,0.0006072927466209805,0.0008763783375947841,187,0.001,-0.0004,1.5465119033641772,0.017573222037809717,元大台灣高息低波,high_dividend
00713_20231218,00713,2023-12-04,2023-12-15,2023-12-18,2023,-10,-1,9,30,0.022014272630753774,0.0024460302923059746,0.0012899593118222146,0.001021704123709307,0.00115607098048376,0.0014243261685966677,197,0.0028,0.0034999999999999,1.6011218716066868,0.016810085640982107,元大台灣高息低波,high_dividend
00713_20240318,00713,2024-03-04,2024-03-15,2024-03-18,2024,-10,-1,9,30,0.045606212108922954,0.00506735690099144,0.00044966405008737143,0.0010555523712921222,0.004617692850904068,0.004011804529699317,165,-0.0002,0.0015,1.4735138056379453,0.01695568350920386,元大台灣高息低波,high_dividend
00713_20240619,00713,2024-06-04,2024-06-18,2024-06-19,2024,-10,-1,9,30,0.02875574299196919,0.0031950825546632434,0.00042411019265017316,0.0007968832562449329,0.00277097236201307,0.0023981992984183106,142,0.0028,0.0032,3.939564351168913,0.02601907997047762,元大台灣高息低波,high_dividend
