symbol,etf_name,ex_date,record_date,pay_date,dividend,source,source_url,scraped_at
929,復華台灣科技優息,2024/5/21,2024/5/27,2024/6/17,0.2,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
929,復華台灣科技優息,2024/6/20,2024/6/26,2024/7/16,0.2,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
929,復華台灣科技優息,2024/7/17,2024/7/23,2024/8/12,0.18,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
929,復華台灣科技優息,2024/8/20,2024/8/26,2024/9/13,0.18,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
929,復華台灣科技優息,2024/9/19,2024/9/25,2024/10/16,0.16,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
929,復華台灣科技優息,2024/10/22,2024/10/28,2024/11/15,0.14,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
929,復華台灣科技優息,2024/11/19,2024/11/25,2024/12/13,0.11,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
929,復華台灣科技優息,2024/12/18,2024/12/24,2025/1/14,0.05,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
929,復華台灣科技優息,2025/1/16,2025/1/22,2025/2/17,0.05,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.4
929,復華台灣科技優息,2025/2/19,2025/2/25,2025/3/18,0.05,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.4
929,復華台灣科技優息,2025/3/19,2025/3/25,2025/4/16,0.05,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.4
929,復華台灣科技優息,2025/4/22,2025/4/28,2025/5/19,0.05,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.4
929,復華台灣科技優息,2025/5/20,2025/5/26,2025/6/16,0.07,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.4
929,復華台灣科技優息,2025/6/18,2025/6/24,2025/7/14,0.07,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.4
929,復華台灣科技優息,2025/7/17,2025/7/23,2025/8/12,0.07,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.4
929,復華台灣科技優息,2025/8/19,2025/8/25,2025/9/12,0.08,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.3
929,復華台灣科技優息,2025/9/17,2025/9/23,2025/10/15,0.08,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.3
929,復華台灣科技優息,2025/10/21,2025/10/27,2025/11/14,0.08,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.3
929,復華台灣科技優息,2025/11/19,2025/11/25,2025/12/15,0.09,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.3
929,復華台灣科技優息,2025/12/17,2025/12/23,2026/1/14,0.09,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2025&endDate=2025,40:40.3
929,復華台灣科技優息,2026/1/20,2026/1/26,2026/2/13,0.1,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2026&endDate=2026,40:43.4
929,復華台灣科技優息,2026/3/3,2026/3/9,2026/3/27,0.1,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2026&endDate=2026,40:43.4
929,復華台灣科技優息,2026/3/18,2026/3/24,2026/4/15,0.11,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2026&endDate=2026,40:43.4
929,復華台灣科技優息,2026/4/21,2026/4/27,2026/5/18,0.13,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2026&endDate=2026,40:43.4
929,復華台灣科技優息,2026/5/20,2026/5/26,2026/6/15,0.13,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2026&endDate=2026,40:43.3
929,復華台灣科技優息,2026/6/17,2026/6/23,2026/7/13,0.26,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2026&endDate=2026,40:43.3
939,統一台灣高息動能,2024/8/1,2024/8/9,2024/8/26,0.063,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
939,統一台灣高息動能,2024/9/3,2024/9/9,2024/9/27,0.063,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
939,統一台灣高息動能,2024/10/2,2024/10/8,2024/10/28,0.063,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
939,統一台灣高息動能,2024/10/31,2024/11/8,2024/11/25,0.063,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
939,統一台灣高息動能,2024/12/3,2024/12/9,2024/12/26,0.063,TWSE ETF eFortune dividendList table,https://www.twse.com.tw/zh/ETFortune/dividendList?startDate=2024&endDate=2024,40:37.7
