date,price_0050,price_006208,close_0050,close_006208,nav_0050,nav_006208,premium_0050,premium_006208,volume_0050,volume_006208,beta,price_spread,nav_spread,mispricing_spread,premium_spread,spread_mean,spread_std,z_score,signal,ret_0050,ret_006208,position,gross_ret,turnover,cost,strategy_ret,equity,peak,drawdown
2025-12-03,61.43291473388672,142.4499969482422,62.29999923706055,142.4499969482422,62.41,142.91,-0.0018,-0.0032,44855416,3077327,0.9523510763168305,-0.6047546918298545,-0.5920453357831637,-0.012709356046690878,0.0014000000000000002,-0.0031868715521916613,0.012358019427863413,-0.7705510215519678,1,0.009724390742743116,0.007782036061045439,1.0,0.0009711773408488389,0.0,0.0,0.0009711773408488389,1.0059819876481422,1.0112073510146529,-0.005167449941169355
2025-12-04,61.33430862426758,142.35000610351562,62.20000076293945,142.35000610351562,62.37,142.81,-0.0027,-0.0032,38785824,1927716,0.9517995134119464,-0.6029575507715101,-0.5892832440754416,-0.013674306696068506,0.0005,-0.004350457103729477,0.012185328103134501,-0.7651701713260065,1,-0.0016051022492792333,-0.0007019364469547096,1.0,-0.00045158290116226185,0.0,0.0,-0.00045158290116226185,1.0055277033836432,1.0112073510146529,-0.005616699310295514
2025-12-05,61.87665557861328,143.5500030517578,62.75,143.5500030517578,62.9,144.01,-0.0024,-0.0032,45051403,3414816,0.9541074997866431,-0.6136069301981069,-0.6002562331232335,-0.013350697074873352,0.0008000000000000004,-0.005603896004677589,0.011726143579324035,-0.6606435455775252,1,0.00884247277764394,0.00842990443828695,1.0,0.0002062841696784945,0.0,0.0,0.0002062841696784945,1.0057351278310243,1.0112073510146529,-0.005411573776770706
2025-12-08,62.81343460083008,145.6999969482422,63.70000076293945,145.6999969482422,63.86,146.22,-0.0025,-0.0036,76124318,4812994,0.9537178663522802,-0.6108239662660404,-0.5976975141548433,-0.013126452111197118,0.0010999999999999998,-0.006898574159460757,0.010997888657916437,-0.5662794146632358,1,0.01513945790148008,0.014977316968145082,1.0,8.107046666749884e-05,0.0,0.0,8.107046666749884e-05,1.0058166632471812,1.0112073510146529,-0.00533094202891482
2025-12-09,62.714820861816406,145.4499969482422,63.59999847412109,145.4499969482422,63.49,145.37,0.0017,0.0006,48271330,3073696,0.9548786264096317,-0.6165376903605013,-0.6037277501560885,-0.01280994020441284,0.0010999999999999998,-0.008122990154438093,0.01015141858671965,-0.4617039490526317,0,-0.00156994661477039,-0.001715854531478156,1.0,7.295395835388296e-05,0.0,0.0,7.295395835388296e-05,1.0058900415541434,1.0112073510146529,-0.00525837698388365
2025-12-10,63.15856552124024,146.5,64.05000305175781,146.5,64.26,147.14,-0.0033,-0.0043,64151249,5435010,0.9544332274994872,-0.614134297998123,-0.6010058781814145,-0.013128419816708536,0.001,-0.009285835162860768,0.009241977082075957,-0.4157751766448481,0,0.007075594784868633,0.007218996725943283,0.0,-0.0,1.0,0.0008,-0.0008,1.0050853295209001,1.0112073510146529,-0.0060541702822966
2025-12-11,62.46830368041992,144.6999969482422,63.34999847412109,144.6999969482422,63.2,144.71,0.0024,-0.0001,94638653,3944013,0.95254002397595,-0.6039059572384424,-0.5923267895024784,-0.011579167735964013,0.0024999999999999996,-0.010468399208734259,0.007759533795291283,-0.1431488742150723,0,-0.010929029738463325,-0.012286710250906552,0.0,0.0,0.0,0.0,0.0,1.0050853295209001,1.0112073510146529,-0.0060541702822966
2025-12-12,62.56691360473633,145.5,63.45000076293945,145.5,63.56,145.52,-0.0017,-0.0001,57687594,1847576,0.9514337765222695,-0.602071140114961,-0.5864541724497494,-0.01561696766521159,-0.0015999999999999999,-0.011869385384449727,0.005657597164622682,-0.6623982181332625,0,0.0015785593414043841,0.005528701234485567,0.0,-0.0,0.0,0.0,-0.0,1.0050853295209001,1.0112073510146529,-0.0060541702822966
2025-12-15,61.92595672607422,143.8000030517578,62.79999923706055,143.8000030517578,62.62,143.38,0.0029,0.0029,105905436,7005088,0.9499734713051011,-0.5939310623824428,-0.5800070819118712,-0.013923980470571529,0.0,-0.013139682570083711,0.0013537955874240168,-0.5793325874109021,0,-0.010244342284667085,-0.011683827822970394,0.0,0.0,0.0,0.0,0.0,1.0050853295209001,1.0112073510146529,-0.0060541702822966
2025-12-16,61.38361358642578,142.4499969482422,62.25,142.4499969482422,61.94,141.84,0.005,0.0043,155552766,7491137,0.9499110740411456,-0.5934575846769219,-0.58035790271434,-0.013099681962581933,0.0007000000000000001,-0.013171990784371746,0.0013442350345024177,0.05379179974771244,0,-0.008757929119245778,-0.009388081188216102,0.0,0.0,0.0,0.0,0.0,1.0050853295209001,1.0112073510146529,-0.0060541702822966
2025-12-17,61.03848648071289,142.0500030517578,61.900001525878906,142.0500030517578,61.93,141.8,-0.0005,0.0018,89657544,2257044,0.949939715788862,-0.5965668028090318,-0.5803933452856427,-0.016173457523389168,-0.0023,-0.013368569228629302,0.0014815219702784847,-1.8932478566164128,0,-0.005622463155040003,-0.00280796002143624,0.0,-0.0,0.0,0.0,-0.0,1.0050853295209001,1.0112073510146529,-0.0060541702822966
2025-12-18,61.03848648071289,141.64999389648438,61.900001525878906,141.64999389648438,61.87,141.67,0.0005,-0.0001,112535790,4749543,0.94905286136865,-0.5894951150545147,-0.576098327780656,-0.013396787273858735,0.0006000000000000001,-0.01340501445335911,0.0014723148492224365,0.005587921295992411,0,0.0,-0.00281597428144853,0.0,0.0,0.0,0.0,0.0,1.0050853295209001,1.0112073510146529,-0.0060541702822966
2025-12-19,61.63013458251953,143.0500030517578,62.5,143.0500030517578,62.23,142.48,0.0043,0.004,79433169,4871617,0.9493798477567293,-0.5908056440564735,-0.5773288984299629,-0.013476745626510578,0.0002999999999999999,-0.01356862509303718,0.0012651857200859239,0.07262132749993554,0,0.009693033623852987,0.009883580766664402,0.0,-0.0,0.0,0.0,-0.0,1.0050853295209001,1.0112073510146529,-0.0060541702822966
2025-12-22,62.517608642578125,145.1999969482422,63.400001525878906,145.1999969482422,63.4,145.17,0.0,0.0002,91596850,4085626,0.9498065318581856,-0.59279511586747,-0.5785832684351835,-0.01421184743228654,-0.0002,-0.013750835609472567,0.001055237459899252,-0.4368796980141199,0,0.014400001980692023,0.015029666904001981,0.0,-0.0,0.0,0.0,-0.0,1.0050853295209001,1.0112073510146529,-0.0060541702822966
2025-12-23,62.81343460083008,146.0,63.70000076293945,146.0,63.99,146.52,-0.0045,-0.0034999999999999,100327038,2174368,0.9494981959451986,-0.5917565192527157,-0.576574441781319,-0.01518207747139666,-0.0010000000000000998,-0.01380227207769753,0.001100012406393885,-1.254354392440424,0,0.0047318821796789035,0.005509663006693977,0.0,-0.0,0.0,0.0,-0.0,1.0050853295209001,1.0112073510146529,-0.0060541702822966
2025-12-24,62.96134185791016,146.3000030517578,63.84999847412109,146.3000030517578,64.15,146.88,-0.0046999999999999,-0.0039,62393202,2384716,0.9499613393168292,-0.5936626966997558,-0.5787181375064341,-0.014944559193321716,-0.0007999999999998997,-0.013798226199172037,0.0010954158392776961,-1.0464820327096578,0,0.0023547073650727057,0.0020548154229986793,0.0,0.0,0.0,0.0,0.0,1.0050853295209001,1.0112073510146529,-0.0060541702822966
2025-12-26,63.503692626953125,147.5500030517578,64.4000015258789,147.5500030517578,64.63,147.99,-0.0036,-0.003,68362335,6901834,0.9505854368468194,-0.5962844796071964,-0.5815342820818241,-0.014750197525372322,-0.0005999999999999998,-0.013848447873185465,0.0011157210119906629,-0.808221448279405,0,0.008614028116918693,0.008544087313229864,0.0,0.0,0.0,0.0,0.0,1.0050853295209001,1.0112073510146529,-0.0060541702822966
2025-12-29,64.34185791015625,149.1999969482422,65.25,149.1999969482422,65.4,149.75,-0.0023,-0.0037,83563905,8854816,0.9531444180690187,-0.6065516030974196,-0.5937469037697589,-0.012804699327660707,0.0014000000000000002,-0.013779231332317777,0.0011362317755393286,0.8576876880551018,0,0.013198685754021389,0.011182608352136691,0.0,0.0,0.0,0.0,0.0,1.0050853295209001,1.0112073510146529,-0.0060541702822966
2025-12-30,64.24325561523438,149.14999389648438,65.1500015258789,149.14999389648438,65.03,148.9,0.0018,0.0017,58116367,6607877,0.9531751882885221,-0.6079197657079227,-0.5941488308171641,-0.013770934890758646,0.00010000000000000005,-0.01381780806410684,0.0011213619384763543,0.041800217877809596,0,-0.0015324750966867473,-0.00033514110442744993,0.0,-0.0,0.0,0.0,-0.0,1.0050853295209001,1.0112073510146529,-0.0060541702822966
2025-12-31,64.6869888305664,150.10000610351562,65.5999984741211,150.10000610351562,65.88,150.85,-0.0043,-0.005,69494353,10442650,0.9556855730223797,-0.6196687312484004,-0.6061572221739633,-0.0135115090744371,0.0007000000000000001,-0.013762089256163623,0.0011066863291811634,0.22642385210624866,0,0.006907078588757054,0.006369508856236328,0.0,0.0,0.0,0.0,0.0,1.0050853295209001,1.0112073510146529,-0.0060541702822966
2026-01-02,66.01819610595703,152.9499969482422,66.94999694824219,152.9499969482422,66.99,153.39,-0.0006,-0.0029,77878570,7577737,0.9609656121487385,-0.6438333423548341,-0.6319809055324006,-0.011852436822433532,0.0023,-0.013719243294950756,0.0011646582438008658,1.602879198643625,0,0.02057921228761228,0.018987280005579033,0.0,0.0,0.0,0.0,0.0,1.0050853295209001,1.0112073510146529,-0.0060541702822966
2026-01-05,68.53270721435547,158.64999389648438,69.5,158.64999389648438,69.45,159.03,0.0007,-0.0024,225924687,17919957,0.9627051481257911,-0.6504275267876789,-0.6394347269803706,-0.010992799807308273,0.0031,-0.013585167950512744,0.0013147763168947734,1.9717180100468357,0,0.03808815230823237,0.03726706153626824,0.0,0.0,0.0,0.0,0.0,1.0050853295209001,1.0112073510146529,-0.0060541702822966
2026-01-06,69.42018127441406,160.5,70.4000015258789,160.5,70.66,161.79,-0.0037,-0.008,125256215,9890925,0.966945547790459,-0.6702560964384254,-0.6602947223219591,-0.00996137411646636,0.0043,-0.013415701802592394,0.0015448833742425986,2.235979585073578,-1,0.012949642530285077,0.011660927669008947,0.0,0.0,0.0,0.0,0.0,1.0050853295209001,1.0112073510146529,-0.0060541702822966
2026-01-07,68.87783813476562,159.0,69.8499984741211,159.0,69.91,160.07,-0.0009,-0.0067,113869755,7879162,0.9675445483064882,-0.6720561530836031,-0.6636712642832814,-0.008384888800321733,0.0058000000000000005,-0.013178623637048626,0.0019118456377419713,2.5073859217989183,-1,-0.007812470807366356,-0.009345794392523366,-1.0,-0.0007666617925785046,1.0,0.0008,-0.0015666617925785046,1.0035107007368587,1.0112073510146529,-0.007611347237607924
2026-01-08,69.12435913085938,159.5500030517578,70.0999984741211,159.5500030517578,69.83,159.9,0.0039,-0.0022,71394567,11248881,0.9708981226702972,-0.6888350612069498,-0.6808060115437709,-0.008029049663178967,0.0060999999999999995,-0.012939579109986932,0.002232384375847149,2.1996791860472102,-1,0.0035791047275817167,0.0034591386903006782,-1.0,-5.998301864051925e-05,0.0,0.0,-5.998301864051925e-05,1.0034505071357904,1.0112073510146529,-0.0076708737046652375
2026-01-09,68.87783813476562,159.14999389648438,69.8499984741211,159.14999389648438,69.63,159.44,0.0032,-0.0018,106682469,8909695,0.9701577812102992,-0.686217154867534,-0.6771223505370871,-0.009094804330446848,0.005,-0.012737898335673847,0.0023909961547364717,1.523672046904036,-1,-0.003566340421718217,-0.00250710841505708,-1.0,0.0005296160033305686,0.0,0.0,0.0005296160033305686,1.0039819505829197,1.0112073510146529,-0.007145320318808102
2026-01-12,69.37088012695312,160.14999389648438,70.3499984741211,160.14999389648438,70.1,160.51,0.0036,-0.0022,80365400,6671940,0.9731040191488841,-0.7001166733026674,-0.6918460795390349,-0.008270593763632483,0.0058,-0.01257246963705727,0.002582198268687968,1.6659742691294572,-1,0.007158209455163433,0.006283380699658947,-1.0,-0.00043741437775224323,0.0,0.0,-0.00043741437775224323,1.003542794442731,1.0112073510146529,-0.007579609230719209
2026-01-13,69.71600341796875,160.85000610351562,70.69999694824219,160.85000610351562,70.57,161.59,0.0018,-0.0046,99445355,5805256,0.971351773916609,-0.6904958771229222,-0.6827791246133286,-0.007716752509593583,0.0063999999999999994,-0.01217745887927637,0.0026938092836876005,1.6559102371109407,-1,0.004975045586621096,0.004370978668183589,-1.0,-0.00030203345921875346,0.0,0.0,-0.00030203345921875346,1.0032396909410515,1.0112073510146529,-0.007879353394342536
