date,price_0050,price_006208,close_0050,close_006208,nav_0050_raw,nav_006208_raw,premium_0050,premium_006208,volume_0050,volume_006208,nav_0050,nav_006208,beta,price_spread,nav_spread,mispricing_spread,premium_spread,spread_mean,spread_std,z_score,signal,ret_0050,ret_006208,position,weight_a,weight_b,gross_ret,turnover,cost,strategy_ret,equity,peak,drawdown
2024-06-26,44.52677917480469,103.42484283447266,46.337501525878906,108.4499969482422,185.55,108.49,-0.0011,-0.0004,35664104,9175322,46.3875,108.49,1.0336971572044404,-0.9990703010595978,-1.0075550279326015,0.008484726873003723,-0.0007000000000000001,-0.000679999999999995,0.0017301049557453848,-0.011559992319303256,0,0.007884733713872327,0.009306607208655837,1.0,0.4917152961823575,0.5082847038176423,-0.0008533619151630165,0.0,0.0,-0.0008533619151630165,0.9983907268722373,1.000907546342034,-0.002514537410567841
2024-06-27,44.514766693115234,103.23411560058594,46.32500076293945,108.25,185.27,108.33,0.0002,-0.0007,24876244,5173515,46.3175,108.33,1.0328379228925444,-0.9934478339766133,-1.0035139138394888,0.010066079862875554,0.0009,-0.0005449999999999949,0.001743401092239263,0.8288396780479269,0,-0.0002697810601187678,-0.0018441143216622047,0.0,0.4919231330440208,0.5080768669559792,0.0,1.0,0.0008,-0.0008,0.9975920142907395,1.000907546342034,-0.0033125257806394526
2024-06-28,44.7910270690918,104.1400909423828,46.61249923706055,109.1999969482422,186.24,108.9,0.0011,0.0028,16587884,5587062,46.56,108.9,1.0319419653418063,-0.9921231611927372,-0.9995097799702082,0.007386618777470932,-0.0017,-0.0005499999999999949,0.001746726261203784,-0.6583744834794345,0,0.00620603895064975,0.008775929706242636,0.0,0.49214003995029626,0.5078599600497038,-0.0,0.0,0.0,-0.0,0.9975920142907395,1.000907546342034,-0.0033125257806394526
2024-07-01,44.82706832885742,104.3308334350586,46.650001525878906,109.4000015258789,186.88,109.28,-0.0015,0.0011,29279212,6888546,46.72,109.28,1.032749961771467,-0.9969624198109348,-1.003466541574272,0.006504121763337256,-0.0026,-0.00043499999999999496,0.0015041259045844887,-1.4393741862973108,0,0.000804653568448721,0.001831595218995119,0.0,0.491944419533299,0.5080555804667011,-0.0,0.0,0.0,-0.0,0.9975920142907395,1.000907546342034,-0.0033125257806394526
2024-07-02,44.52677917480469,103.56790161132812,46.337501525878906,108.5999984741211,185.41,108.41,-0.0003,0.0018,21777344,5963331,46.3525,108.41,1.0304765623788532,-0.9855548458140801,-0.9924558510958099,0.006901005281729766,-0.0021,-0.000515,0.0015496264405537097,-1.0228271527385984,0,-0.006698835441340312,-0.007312620810274284,0.0,0.49249521936289986,0.5075047806371003,0.0,0.0,0.0,0.0,0.9975920142907395,1.000907546342034,-0.0033125257806394526
2024-07-03,45.06729888916016,104.75997924804688,46.900001525878906,109.8499984741211,188.11,109.98,-0.0027,-0.0012,25915028,5678415,47.0275,109.98,1.030655691228825,-0.9861151331603191,-0.9936568945467075,0.007541761386388401,-0.0015000000000000002,-0.00045,0.0014741634559087553,-0.7122683687425438,0,0.012139205313581813,0.01151010707151734,0.0,0.49245177521693156,0.5075482247830685,0.0,0.0,0.0,0.0,0.9975920142907395,1.000907546342034,-0.0033125257806394526
2024-07-04,46.24443054199219,107.43024444580078,48.125,112.6500015258789,192.15,112.35,0.0018,0.0027,50576828,8582513,48.0375,112.35,1.034448322709482,-1.004010065877107,-1.01228889771645,0.00827883183934297,-0.0009000000000000002,-0.00035,0.001362853044554927,-0.4035651548767065,0,0.026119418776951786,0.02548936356155007,0.0,0.4915337434908143,0.5084662565091856,-0.0,0.0,0.0,-0.0,0.9975920142907395,1.000907546342034,-0.0033125257806394526
2024-07-05,46.07626724243164,107.19182586669922,47.95000076293945,112.4000015258789,192.07,112.31,-0.0014,0.0008,38933332,7106343,48.0175,112.31,1.0348663012263055,-1.007308696249357,-1.0143103517915137,0.007001655542156815,-0.0022,-0.00047000000000000004,0.0014164819280991837,-1.2213357372808384,0,-0.0036364011317611133,-0.002219287318310448,0.0,0.49143277835863386,0.5085672216413663,-0.0,0.0,0.0,-0.0,0.9975920142907395,1.000907546342034,-0.0033125257806394526
2024-07-08,47.5296630859375,110.24354553222656,49.462501525878906,115.5999984741211,196.84,115.11,0.0051,0.0043,69409868,14045771,49.21,115.11,1.040069527113438,-1.0297726098832136,-1.0399568336729157,0.010184223789702074,0.0008000000000000004,-0.00041999999999999996,0.0014438982323083439,0.8449348940954101,0,0.0315432636037718,0.028469705043763005,0.0,0.49017937217803215,0.5098206278219678,0.0,0.0,0.0,0.0,0.9975920142907395,1.000907546342034,-0.0033125257806394526
2024-07-09,47.48161315917969,110.3865966796875,49.41249847412109,115.75,197.76,115.65,-0.0006,0.0009,61955156,16996375,49.44,115.65,1.0401636200385074,-1.032575390468864,-1.0406085992577983,0.00803320878893432,-0.0015,-0.00049,0.001461398032887111,-0.6911190362044368,0,-0.0010109460837316453,0.0012975920428748289,0.0,0.4901567649662949,0.5098432350337051,-0.0,0.0,0.0,-0.0,0.9975920142907395,1.000907546342034,-0.0033125257806394526
2024-07-10,47.6497802734375,110.8634262084961,49.587501525878906,116.25,198.48,116.06,-0.0007,0.0016,28674444,10714018,49.62,116.06,1.0379176872335187,-1.0229488411592613,-1.0299780741278708,0.007029232968609467,-0.0023,-0.00059,0.001515151547049442,-1.1285999762400003,0,0.0035417312738310613,0.004319632483934965,0.0,0.4906969532010412,0.5093030467989589,-0.0,0.0,0.0,-0.0,0.9975920142907395,1.000907546342034,-0.0033125257806394526
